date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:08	31806/31806	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:09%20GMT	https://colorlib.com/polygon/octopus/ui-elements-notifications.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/ui-elements-notifications.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:08	43248/43248	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:08%20GMT	https://colorlib.com/polygon/octopus/ui-elements-modals.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/ui-elements-modals.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:09	28129/28129	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:08%20GMT	https://colorlib.com/polygon/octopus/ui-elements-lightbox.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/ui-elements-lightbox.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:09	77627/77627	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:10%20GMT	https://colorlib.com/polygon/octopus/ui-elements-progressbars.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/ui-elements-progressbars.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:09	30865/30865	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:10%20GMT	https://colorlib.com/polygon/octopus/ui-elements-sliders.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/ui-elements-sliders.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:10	24249/24249	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:06%20GMT	https://colorlib.com/polygon/octopus/ui-elements-carousels.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/ui-elements-carousels.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:10	45428/45428	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:05%20GMT	https://colorlib.com/polygon/octopus/ui-elements-accordions.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/ui-elements-accordions.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:10	20809/20809	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:09%20GMT	https://colorlib.com/polygon/octopus/ui-elements-nestable.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/ui-elements-nestable.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:10	22642/22642	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:11%20GMT	https://colorlib.com/polygon/octopus/ui-elements-tree-view.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/ui-elements-tree-view.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:10	22497/22497	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:07%20GMT	https://colorlib.com/polygon/octopus/ui-elements-grid-system.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/ui-elements-grid-system.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:11	38331/38331	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:07%20GMT	https://colorlib.com/polygon/octopus/ui-elements-charts.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/ui-elements-charts.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:11	60706/60706	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:06%20GMT	https://colorlib.com/polygon/octopus/ui-elements-animations.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/ui-elements-animations.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:11	21010/21010	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:07%20GMT	https://colorlib.com/polygon/octopus/ui-elements-extra.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/ui-elements-extra.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:12	40692/40692	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:11:51%20GMT	https://colorlib.com/polygon/octopus/forms-basic.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/forms-basic.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:12	56577/56577	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:11:51%20GMT	https://colorlib.com/polygon/octopus/forms-advanced.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/forms-advanced.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:12	26647/26647	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:11:53%20GMT	https://colorlib.com/polygon/octopus/forms-validation.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/forms-validation.html	(from https://colorlib.com/polygon/octopus/index.html)
13:38:12	24542/24542	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:11:52%20GMT	https://colorlib.com/polygon/octopus/forms-layouts.html	C:/Users/Freddy/Desktop/big%20update/templ%20def/colorlib.com/polygon/octopus/forms-layouts.html	(from https://colorlib.com/polygon/octopus/index.html)
